Label,count
hr,7.609624844210214
rr,6.0282420335096605
nibp_sbp,4.609821452573411
nibp_dbp,4.609559225007147
spo2,4.534719477595331
bt,4.3581920340863025
nibp_mbp,2.096405539781139
etco2,1.9635439190489274
fio2,1.8757303978883755
pip,1.7846642163811317
vt,1.7103608671395165
minvol,1.6834469721156708
pmean,1.498948329854716
peep,1.3341785473019663
art_mbp,1.2244069724887092
art_sbp,1.1691569224331015
art_dbp,1.1658487009981124
stii,1.1063567955191134
pplat,0.9092956354153251
etgas,0.7567929103386676
cvp,0.47566782364065213
rbc,0.44737632518453124
bis,0.33990248696675773
stiii,0.17748963693534153
sti,0.172754482129869
stv5,0.16922090076664487
o2,0.16410564580571602
air,0.13648866934677778
psa,0.1131794946496775
ebl,0.10343293738476689
pap_mbp,0.0861944606623107
uo,0.0819775298392772
pap_sbp,0.07767751701505105
pap_dbp,0.07701078395548018
etsevo,0.07286395357095295
ci,0.05426137424141524
etdes,0.04480404619315648
svi,0.014803654825004616
ffp,0.00585364624652836
n2o,0.003372609985913395
pc,0.0026009858998368275
pheresis,7.010043850628304e-05
etiso,2.596312537269742e-06
